Scenario,Response,Mean,Median,Minimum,Maximum,HalfWidth,Mean Confidence Interval Start,Mean Confidence Interval End,Upper Percentile,Upper Percentile Confidence Interval Start,Upper Percentile Confidence Interval End,Lower Percentile,Lower Percentile Confidence Interval Start,Lower Percentile Confidence Interval End
Scenario1,altSorties,825.6,828,804,840,4.35445672338002,821.24554327662,829.95445672338,832,828,840,820,804,828
Scenario1,crewChiefUtil,97.0575778404086,96.8245629826003,96.1264438239579,98.8071971574299,0.335907241080497,96.7216705993281,97.3934850814891,97.4502920425021,96.8245629826003,98.8071971574299,96.5410993450931,96.1264438239579,96.797557970582
Scenario1,mxUtil,83.4685102007427,82.5725146416595,80.8910055918855,90.5925879678761,1.21279097951873,82.255719221224,84.6813011802615,85.5444506292184,82.5725146416595,90.5925879678761,81.3792560077921,80.8910055918855,82.5618877348815
Scenario1,serviceUtil,83.3903688359812,83.4902813297231,82.3029304648652,84.2292729133245,0.253230469355265,83.1371383666259,83.6435993053364,83.7487630834211,83.4902813297231,84.2292729133245,83.1420547189573,82.3029304648652,83.4681787514192
Scenario1,timeQueueMx,3.9807722517229,4.05775097671283,3.12667679432072,4.95002032215926,0.23239342235782,3.74837882936508,4.21316567408072,4.39590507278043,4.05775097671283,4.95002032215926,3.71749608175439,3.12667679432072,3.8212530672552
Scenario1,AvgUnsched,1.355,1.36666666666667,0.833333333333333,1.66666666666667,0.10226983773518,1.25273016226482,1.45726983773518,1.56666666666667,1.36666666666667,1.66666666666667,1.23333333333333,0.833333333333333,1.33333333333333
Scenario1,numSorties,752.8,756,712,772,7.22743252600083,745.572567473999,760.027432526001,764,756,772,748,712,752
Scenario2,altSorties,719.4,724,696,740,5.54255153459886,713.857448465401,724.942551534599,728,724,740,712,696,720
Scenario2,crewChiefUtil,84.6153145538849,84.8450178905848,82.8648880852853,86.052128876795,0.374798636605509,84.2405159172794,84.9901131904904,85.2012459090504,84.8450178905848,86.052128876795,84.309296767166,82.8648880852853,84.6488748685275
Scenario2,mxUtil,98.5002904063209,98.4799608878806,95.715019095825,101.627957390642,0.648589868696462,97.8517005376245,99.1488802750174,99.4791188354935,98.4799608878806,101.627957390642,97.9532091132843,95.715019095825,98.4533926911757
Scenario2,serviceUtil,96.1350401061717,96.3269562806158,94.1946875873051,97.0825258043978,0.37160991291192,95.7634301932598,96.5066500190836,96.830131657682,96.3269562806158,97.0825258043978,95.5556422457483,94.1946875873051,96.3220542638676
Scenario2,timeQueueMx,4.42647109055201,4.42486551881864,3.66794063497441,6.05231627134567,0.280094780624036,4.14637630992797,4.70656587117605,4.75015415747538,4.42486551881864,6.05231627134567,3.96051786066592,3.66794063497441,4.33987553890023
Scenario2,AvgUnsched,1.18833333333333,1.2,0.7,1.46666666666667,0.096336387266441,1.09199694606689,1.28466972059977,1.4,1.2,1.46666666666667,1.1,0.7,1.13333333333333
Scenario2,numSorties,649.4,652,604,680,8.40004329550246,640.999956704498,657.800043295502,664,652,680,640,604,648
Scenario3,altSorties,757.2,760,744,772,3.21962713630664,753.980372863693,760.419627136307,760,760,772,752,744,760
Scenario3,crewChiefUtil,89.051352042002,89.0456471443831,87.5976406605347,90.7536517484742,0.422785990863564,88.6285660511385,89.4741380328656,89.9007956674536,89.0456471443831,90.7536517484742,88.5920058984974,87.5976406605347,88.909679242558
Scenario3,mxUtil,22.4759852246236,21.8898722132999,16.7591293370187,32.3287009246453,2.00473416625954,20.471251058364,24.4807193908831,25.5013655020968,21.8898722132999,32.3287009246453,19.3578833165146,16.7591293370187,20.8590472218876
Scenario3,serviceUtil,94.5333263728753,94.6492195176845,92.8852314745354,95.6878105053488,0.335531075719228,94.1977952971561,94.8688574485945,95.0395686623989,94.6492195176845,95.6878105053488,94.1296674598785,92.8852314745354,94.4427968775356
Scenario3,timeQueueMx,1.71417244352549,1.81155156242171,0.524983260073994,2.93267780133838,0.293807277382502,1.42036516614299,2.007979720908,2.21903921287002,1.81155156242171,2.93267780133838,1.38906138068028,0.524983260073994,1.63707024767173
Scenario3,AvgUnsched,1.23833333333333,1.23333333333333,0.733333333333333,1.53333333333333,0.0977880138158692,1.14054531951746,1.3361213471492,1.46666666666667,1.23333333333333,1.53333333333333,1.16666666666667,0.733333333333333,1.2
Scenario3,numSorties,691.6,692,664,716,6.22071297386062,685.379287026139,697.820712973861,700,692,716,684,664,688
